Carrapateena | Lat: -31.239886, Lon: 137.492165 | 153.83m
Casa de Pedra | Lat: -20.486113, Lon: -43.896238 | 969.89m
Casposo | Lat: -31.210804, Lon: -69.630009 | 2324.79m
Cato Ridge | Lat: -29.716351, Lon: 30.618107 | 621.3m
Cayeli | Lat: 41.039486, Lon: 40.765036 | -1583.3m
CBG Sangaredi | Lat: 11.079653, Lon: -13.786853 | 138.3m
Centinela | Lat: -22.953896, Lon: -69.128837 | 2188.64m
Central Murchison Gold Project | Lat: -27.318154, Lon: 117.655500 | 386.13m
Century | Lat: -18.734005, Lon: 138.619156 | 163.87m
Cerrejon | Lat: 11.132820, Lon: -72.624500 | 97.3m
Cerro Bayo | Lat: -46.545331, Lon: -71.849629 | 1520.25m
Cerro Matoso | Lat: 7.922526, Lon: -75.547895 | 60.4m
Cerro Moro | Lat: -48.130369, Lon: -66.653730 | 66.39m
Cerro Negro | Lat: -46.872219, Lon: -70.220258 | 944.72m
Cerro Vanguardia | Lat: -48.384231, Lon: -68.262665 | 205.19m
Cerro Verde | Lat: -16.538255, Lon: -71.578330 | 297.48m
Chain Valley | Lat: -33.162907, Lon: 151.549515 | 13.55m
Chanderiya Smelter | Lat: 24.962556, Lon: 74.662682 | 359.69m
Charbon | Lat: -32.893539, Lon: 149.981065 | 610.65m
Cheremshansky | Lat: 54.367464, Lon: 86.904300 | 287.43m
Cherepovets Steel | Lat: 59.144929, Lon: 37.804293 | 108.35m
Chernigovets | Lat: 55.619568, Lon: 86.162245 | 259.29m
Chifeng | Lat: 42.287749, Lon: 119.028527 | 578.48m
Clairton Plant | Lat: 40.296670, Lon: -79.872987 | 231.78m
Clarence | Lat: -33.464019, Lon: 150.247286 | 1050.89m
Cliffs | Lat: -27.306884, Lon: 120.540913 | 526.41m
Cliffs Logan County Coal | Lat: 37.800144, Lon: -81.674530 | 388.45m
Coal Creek | Lat: 44.099893, Lon: -105.404719 | 1368.34m
Coal‑Mac | Lat: 37.757959, Lon: -82.111902 | 321.63m
Coatesville | Lat: 39.970427, Lon: -75.812691 | 154.31m
Cobre Panama | Lat: 8.843979, Lon: -80.654122 | 123.38m
Cockatoo Island | Lat: -16.093914, Lon: 123.609184 | 106.14m
Codelco Norte | Lat: -22.307428, Lon: -68.915946 | 2747.91m
Coermotibo and Onverdacht | Lat: 5.571677, Lon: -54.305544 | -5.0m
Collahuasi | Lat: -20.955616, Lon: -68.706577 | 4735.28m
Collingwood | Lat: -15.763496, Lon: 145.230090 | 246.92m
Consolidated Murchison | Lat: -23.902234, Lon: 30.693605 | 1195.6m
Cooke | Lat: -26.252754, Lon: 27.739395 | 1607.63m
Coral Bay Nickel Corporation | Lat: 8.557308, Lon: 117.424679 | -53.0m
Cordero Rojo | Lat: 44.033534, Lon: -105.331367 | 1391.94m
Corridor G | Lat: 38.108195, Lon: -81.977643 | 293.08m
Cosmos | Lat: -27.590127, Lon: 120.581848 | 435.39m
Cowal | Lat: -33.640609, Lon: 147.399575 | 220.64m
Cripple Creek & Victor | Lat: 38.744538, Lon: -105.146628 | 2814.59m
CSA | Lat: -31.409105, Lon: 145.799881 | 264.37m
Cuajone | Lat: -17.038403, Lon: -70.704952 | 3198.39m
Cumberland River | Lat: 36.970117, Lon: -82.741940 | 769.22m
Cumnock | Lat: -32.407591, Lon: 151.058158 | 113.51m
Cusi | Lat: 28.244160, Lon: -106.837528 | 2035.68m
Darby | Lat: 36.877178, Lon: -83.011436 | 426.55m
Darling Range Mines | Lat: -32.917528, Lon: 116.031296 | 330.68m
Dartbrook | Lat: -32.152931, Lon: 150.827038 | 194.56m
Deflector | Lat: -28.661411, Lon: 116.374346 | 274.91m
DeGrussa | Lat: -25.539949, Lon: 119.322927 | 633.28m
Delma | Lat: -26.264540, Lon: 28.831212 | 1598.86m
Denisovskiy | Lat: 56.774962, Lon: 124.845125 | 796.34m
Dian Dian | Lat: 10.893066, Lon: -14.228071 | 68.02m
Dilworth | Lat: 39.832474, Lon: -79.954167 | 238.26m
Dodge Hill | Lat: 37.555517, Lon: -88.042484 | 112.8m
Dofasco Hamilton | Lat: 43.260067, Lon: -79.812069 | 77.31m
Dolores | Lat: 28.989353, Lon: -108.536707 | 1437.15m
Dotiki Complex | Lat: 37.453541, Lon: -87.773653 | 120.49m
Drayton | Lat: -32.354978, Lon: 150.900863 | 266.89m
Driefontein | Lat: -26.390570, Lon: 27.489972 | 1637.5m
Drummond Cesar | Lat: 9.705502, Lon: -73.522703 | 65.68m
Duck Pond | Lat: 48.643991, Lon: -56.488776 | 276.84m
Dvoinoye | Lat: 67.638925, Lon: 169.205828 | 1119.55m
Dwarsrivier | Lat: -24.936885, Lon: 30.127611 | 1109.7m
Dynamic Energy | Lat: 37.497216, Lon: -81.454578 | 685.17m
Dzhebariki-Khaya | Lat: 62.195847, Lon: 135.872546 | 215.68m
Eagle Pass | Lat: 28.813636, Lon: -100.459384 | 274.33m
Edgar Thomson Plant | Lat: 40.397180, Lon: -79.863702 | 228.21m
Edna May | Lat: -31.285881, Lon: 118.694946 | 348.07m
Eisenhüttenstadt steel plant | Lat: 52.162544, Lon: 14.631428 | 13.24m
El Abra | Lat: -21.921632, Lon: -68.833515 | 3831.0m
El Arco | Lat: 28.029179, Lon: -113.399424 | 282.09m
El Hatillo | Lat: 9.638629, Lon: -73.553081 | 61.35m
El Penon | Lat: -24.411448, Lon: -69.496551 | 1815.26m
El Romeral | Lat: -29.721705, Lon: -71.233352 | 123.4m
El Sauzal | Lat: 26.997556, Lon: -107.889334 | 2062.54m
El Volcan | Lat: 27.740724, Lon: -109.305456 | 702.61m
Eleonore | Lat: 52.706088, Lon: -76.067833 | 216.94m
Elgaugol | Lat: 56.198780, Lon: 130.418056 | 1345.12m
Endeavor | Lat: -31.162619, Lon: 145.655204 | 215.32m
Ergo | Lat: -26.276474, Lon: 28.374370 | 1634.89m
Escobal | Lat: 14.468898, Lon: -90.165130 | 1349.28m
Escondida | Lat: -24.270757, Lon: -69.071897 | 2632.85m
Eurallumina | Lat: 39.209412, Lon: 8.399670 | 22.07m
EVRAZ VGOK | Lat: 57.910652, Lon: 59.916015 | 277.71m
Evrazruda | Lat: 52.765706, Lon: 87.878466 | 299.25m
