Barro Alto | Lat: -15.075627, Lon: -48.943620 | Nickel
Barsingsar | Lat: 27.824432, Lon: 73.223460 | Coal
Baruun Noyon Uul | Lat: 43.258334, Lon: 99.691425 | Coal
Barzasskoye tovarischestvo | Lat: 55.721963, Lon: 86.024541 | Coal
Batu Hijau | Lat: -8.967227, Lon: 116.858843 | Copper
Batulicin | Lat: -3.389605, Lon: 116.000519 | Coal
Bauxite Company of Guyana | Lat: 5.581762, Lon: -58.197752 | Aluminium
Bayovar | Lat: -6.012184, Lon: -80.832195 | Other mine
Bayside | Lat: -28.780826, Lon: 32.018351 | Processing
Bear Run | Lat: 38.996744, Lon: -87.273242 | Coal
Beatrix | Lat: -28.258483, Lon: 26.784440 | Gold
Beauharnois | Lat: 45.309070, Lon: -73.892644 | Processing
Becancour | Lat: 46.382446, Lon: -72.388157 | Processing
Beckley | Lat: 37.779287, Lon: -81.263494 | Coal
Beeshoek | Lat: -28.284537, Lon: 23.006341 | Iron
Beisu | Lat: 35.352292, Lon: 116.899147 | Coal
Belfast | Lat: -25.833958, Lon: 29.988723 | Coal
Bell Bay | Lat: -41.128301, Lon: 146.870821 | Processing
Belmont | No coordinates. | Coal
Belousovsky | Lat: 50.129102, Lon: 82.497112 | Copper
Beltana | Lat: -32.708413, Lon: 151.110148 | Coal
Belval and Differdange steel plant | Lat: 49.529547, Lon: 5.905342 | Processing
Bembele | No coordinates. | Other (poly)-metallic
Benga | Lat: -16.151281, Lon: 33.660885 | Coal
Bengalla | Lat: -32.289865, Lon: 150.804193 | Coal
Berezovskaya | Lat: 55.601023, Lon: 86.243049 | Coal
Berezovskiy | Lat: 53.729576, Lon: 86.797461 | Coal
Bergsöe | Lat: 55.863189, Lon: 12.850784 | Processing
Beulah | Lat: 47.198062, Lon: -101.838752 | Coal
Bharat Coking Coal Limited | Lat: 23.765173, Lon: 86.340728 | Coal
Bibiani | Lat: 6.464845, Lon: -2.325679 | Gold
Big Mountain | Lat: 38.002378, Lon: -81.646899 | Coal
Big Sky | Lat: 45.812677, Lon: -106.610039 | Coal
Bingham Canyon | Lat: 40.522168, Lon: -112.149386 | Copper
Binungan | Lat: 2.036731, Lon: 117.433097 | Coal
Birch River | Lat: 38.469977, Lon: -80.642936 | Coal
Birchtree | Lat: 55.701560, Lon: -97.927212 | Nickel
Birdwell/Miller Creek | Lat: 39.029303, Lon: -87.070498 | Coal
Black Mesa | Lat: 36.475870, Lon: -110.352096 | Coal
Black Mountain | Lat: -29.259851, Lon: 18.802912 | Other (poly)-metallic
Black Rock | Lat: -27.132777, Lon: 22.833699 | Other (poly)-metallic
Black Thunder | Lat: 43.658233, Lon: -105.308910 | Coal
Blacksville | Lat: 39.711191, Lon: -80.292852 | Coal
Blackwater | Lat: -23.686871, Lon: 148.800355 | Coal
Blair Athol | Lat: -22.697031, Lon: 147.547525 | Coal
Bleomhoek | No coordinates. | Other mine
Bloom Lake | Lat: 52.851247, Lon: -67.297348 | Iron
Blue Ridge | No coordinates. | Other mine
Bluegrass | No coordinates. | Coal
Bocaina | Lat: -20.314645, Lon: -45.588868 | Other mine
Bodai-Daldali | Lat: 22.415869, Lon: 81.186798 | Aluminium
Boddington | Lat: -32.763610, Lon: 116.382645 | Gold
Boffa | Lat: 10.180825, Lon: -14.039162 | Other mine
Bogatyr | Lat: 51.650814, Lon: 75.426962 | Coal
Boggabri | Lat: -30.610596, Lon: 150.171323 | Coal
Bogoslovsk | Lat: 59.781265, Lon: 60.180472 | Processing
Bokoni | Lat: -24.292792, Lon: 29.881615 | Other mine
Bolivar | Lat: 27.094329, Lon: -107.989302 | Copper
Bolshevik | Lat: 53.911788, Lon: 87.330750 | Coal
Bonikro | Lat: 6.222223, Lon: -5.369627 | Gold
Bosjesspruit | Lat: -26.711009, Lon: 29.172692 | Coal
Boxitogorsk Alumina Refinery | Lat: 59.461760, Lon: 33.825334 | Processing
Boyne Island | Lat: -23.924748, Lon: 151.338484 | Processing
Bozshakol | Lat: 51.846988, Lon: 74.291371 | Copper
Bozymchak | Lat: 41.258684, Lon: 71.064637 | Copper
Bracemac-McLeod | Lat: 49.688419, Lon: -77.694497 | Zinc
Brandspruit | Lat: -26.589246, Lon: 29.145684 | Coal
Bratsk Aluminium Smelter | Lat: 56.128057, Lon: 101.450797 | Processing
Breapampa | Lat: -15.076507, Lon: -73.669896 | Gold
Broadlea | Lat: -21.854361, Lon: 148.172607 | Coal
Broadmeadow | Lat: -21.823452, Lon: 147.980978 | Other mine
Brocks Creek | Lat: -13.466557, Lon: 131.415973 | Other mine
Broken Hill | Lat: -31.977088, Lon: 141.457827 | Silver
BRPM | Lat: -25.465127, Lon: 27.099911 | Other mine
Brunswick | Lat: 47.471331, Lon: -65.890479 | Zinc
Bryansky | Lat: 54.331612, Lon: 86.867052 | Coal
Buchanan | Lat: 37.213169, Lon: -81.898249 | Coal
Buckingham | Lat: 39.578603, Lon: -82.068408 | Coal
Buenavista | Lat: 30.985395, Lon: -110.317001 | Copper
Bulga | Lat: -32.674413, Lon: 151.096614 | Coal
Bulyanhulu | Lat: -3.228689, Lon: 32.483679 | Gold
Burbanks | Lat: -31.375091, Lon: 121.488422 | Gold
Burns Harbor | Lat: 41.622296, Lon: -87.116245 | Processing
Burnstone | Lat: -26.651606, Lon: 28.672003 | Other mine
Burton | Lat: -21.627275, Lon: 148.207459 | Coal
Buruktal | Lat: 50.829800, Lon: 60.978602 | Nickel
Buzwagi | Lat: -3.863998, Lon: 32.671022 | Gold
Bwana | Lat: -13.019050, Lon: 28.666964 | Processing
Bystrinsky GOK | Lat: 51.512118, Lon: 118.550421 | Copper
Caballo | Lat: 44.115923, Lon: -105.339189 | Coal
Cadia | Lat: -33.455686, Lon: 148.992199 | Gold
Cadiz | Lat: 40.272194, Lon: -81.041364 | Coal
Cagdianao | Lat: 10.163421, Lon: 125.668258 | Other (poly)-metallic
Cairn Hill | Lat: -29.298058, Lon: 135.115711 | Iron
Cajati | Lat: -24.709701, Lon: -48.128695 | Other mine
Callide | Lat: -24.323770, Lon: 150.626227 | Coal
Canadian Malartic | Lat: 48.111824, Lon: -78.131662 | Gold
Candelaria | Lat: -27.515392, Lon: -70.285583 | Copper
